Year,yearcode,Site,sitecode,Transect,Interval,Heights
1997,1,Argilla Rd.,1,4,0,85
1997,1,Argilla Rd.,1,4,0,80
1998,2,Argilla Rd.,1,4,0,85
1998,2,Argilla Rd.,1,4,0,80
1999,3,Argilla Rd.,1,4,0,80
1999,3,Argilla Rd.,1,4,0,80
2000,4,Argilla Rd.,1,4,0,91
2000,4,Argilla Rd.,1,4,0,87
2001,5,Argilla Rd.,1,4,0,104
2001,5,Argilla Rd.,1,4,0,97
2002,6,Argilla Rd.,1,4,0,92
2002,6,Argilla Rd.,1,4,0,89
1997,1,Argilla Rd.,1,4,5,34
1997,1,Argilla Rd.,1,4,5,39
1998,2,Argilla Rd.,1,4,5,34
1998,2,Argilla Rd.,1,4,5,25
1999,2,Argilla Rd.,1,4,5,0
1999,3,Argilla Rd.,1,4,5,0
2000,4,Argilla Rd.,1,4,5,0
2000,4,Argilla Rd.,1,4,5,0
2001,5,Argilla Rd.,1,4,5,0
2001,5,Argilla Rd.,1,4,5,76
2002,6,Argilla Rd.,1,4,5,66
2002,6,Argilla Rd.,1,4,5,54
1997,1,Argilla Rd.,1,5,0,212
1997,1,Argilla Rd.,1,5,0,212
1998,2,Argilla Rd.,1,5,0,170
1998,2,Argilla Rd.,1,5,0,159
1999,3,Argilla Rd.,1,5,0,125
1999,3,Argilla Rd.,1,5,0,120
2000,4,Argilla Rd.,1,5,0,160
2000,4,Argilla Rd.,1,5,0,133
2001,5,Argilla Rd.,1,5,0,129
2001,5,Argilla Rd.,1,5,0,110
2002,6,Argilla Rd.,1,5,0,127
2002,6,Argilla Rd.,1,5,0,120
1997,1,Argilla Rd.,1,5,5,219
1997,1,Argilla Rd.,1,5,5,218
1998,2,Argilla Rd.,1,5,5,195
1998,2,Argilla Rd.,1,5,5,180
1999,3,Argilla Rd.,1,5,5,164
1999,3,Argilla Rd.,1,5,5,160
2000,4,Argilla Rd.,1,5,5,155
2000,4,Argilla Rd.,1,5,5,146
2001,5,Argilla Rd.,1,5,5,148
2001,5,Argilla Rd.,1,5,5,134
2002,6,Argilla Rd.,1,5,5,132
