number	code	comp	rich	co2	het	ba	bs	bt	rs	cu	nu	rii	dmax	ryt
58	AHELOH1	3	1	1	2	358.671	775.401	1134.072	2.162	0.074	0.512	0.747		
6	AHELOH2	3	1	1	2	416.348	564.298	980.647	1.355	0.035	0.645	0.897		
99	AHELOH3	3	1	1	2	345.429	669.977	1015.406	1.940	0.037	0.518	0.867		
87	AHELOH4	3	1	1	2	350.649	618.284	968.933	1.763	0.052	0.376	0.757		
18	AHELOL1	2	1	1	2	248.154	371.912	620.066	1.499	0.020	0.345	0.890		
47	AHELOL2	2	1	1	2	236.822	489.941	726.763	2.069	0.063	0.460	0.759		
74	AHELOL3	2	1	1	2	193.023	466.896	659.919	2.419	0.040	0.498	0.851		
100	AHELOL4	2	1	1	2	242.552	811.179	1053.731	3.344	0.063	0.368	0.708		
19	AHELOLH1	6	2	1	2	432.646	415.330	847.976	0.960	0.045	0.483	0.830	0.176	1.226
32	AHELOLH2	6	2	1	2	347.848	540.234	888.083	1.553	0.049	0.701	0.869	-0.054	0.984
101	AHELOLH3	6	2	1	2	328.622	764.451	1093.074	2.326	0.054	0.269	0.666	-0.106	0.951
134	AHELOLH4	6	2	1	2	377.133	754.520	1131.653	2.001	0.039	0.340	0.794	0.025	1.101
33	AHELOLP1	4	2	1	2	205.882	527.757	733.639	2.563	0.051	0.327	0.730	-0.105	0.910
59	AHELOLP2	4	2	1	2	256.684	474.153	730.838	1.847	0.040	0.415	0.824	0.115	1.039
102	AHELOLP3	4	2	1	2	240.896	493.761	734.657	2.050	0.065	0.290	0.634	0.047	1.070
127	AHELOLP4	4	2	1	2	201.171	421.187	622.358	2.094	0.056	0.370	0.737	-0.126	0.880
7	AHELOLPH1	7	3	1	2	449.707	639.419	1089.127	1.422	0.047	0.542	0.840	0.223	1.356
60	AHELOLPH2	7	3	1	2	326.203	571.938	898.141	1.753	0.047	0.255	0.689	-0.113	1.063
75	AHELOLPH3	7	3	1	2	360.581	548.001	908.582	1.520	0.069	0.288	0.613	-0.020	1.139
128	AHELOLPH4	7	3	1	2	311.561	567.354	878.915	1.821	0.054	0.491	0.802	-0.153	0.961
48	AHELOP1	1	1	1	2	241.915	487.522	729.437	2.015	0.024	0.261	0.832		
34	AHELOP2	1	1	1	2	228.610	331.551	560.160	1.450	0.041	0.148	0.566		
129	AHELOP3	1	1	1	2	236.567	345.938	582.506	1.462	0.038	0.200	0.681		
88	AHELOP4	1	1	1	2	162.210	274.892	437.102	1.695	0.027	0.171	0.727		
8	AHELOPH1	5	2	1	2	372.676	541.762	914.439	1.454	0.123	0.239	0.320	0.013	1.037
61	AHELOPH2	5	2	1	2	372.294	594.601	966.896	1.597	0.059	0.365	0.722	0.012	1.047
103	AHELOPH3	5	2	1	2	380.570	633.435	1014.006	1.664	0.034	0.722	0.910	0.035	1.061
89	AHELOPH4	5	2	1	2	376.878	525.974	902.852	1.396	0.055	0.295	0.686	0.025	1.064
27	AHOLOH1	3	1	1	1	315.635	571.556	887.191	1.811	0.054	0.034	-0.227		
63	AHOLOH2	3	1	1	1	333.970	676.725	1010.695	2.026	0.048	0.066	0.158		
108	AHOLOH3	3	1	1	1	190.604	346.830	537.433	1.820	0.037	0.033	-0.057		
80	AHOLOH4	3	1	1	1	311.688	639.801	951.490	2.053	0.050	0.115	0.394		
64	AHOLOL1	2	1	1	1	159.919	464.731	624.650	2.906	0.023	0.038	0.246		
11	AHOLOL2	2	1	1	1	197.352	318.182	515.533	1.612	0.051	0.040	-0.121		
