Bird #,Sex,Age (days),Exp. Temp. (degree C),Mass (g),Tarsus (mm),Culmen (mm),Depth (mm),Width (mm),NOTES
1,,5,15,16.09,19.38,7.64,4.23,4.49,
2,m,5,15,19.22,20.38,7.49,4.46,4.44,
3,f,5,15,17.51,19.04,7.31,3.92,4.01,
4,m,5,15,14.36,20.11,7.34,3.85,4.22,
5,f,5,15,17.43,21.82,8.24,4.42,4.56,
6,m,5,15,15.66,19.83,6.82,3.65,3.73,
7,m,5,15,20,21.65,7.84,3.94,4.6,
8,,5,15,16.42,18.19,7.39,3.72,4.66,
9,m,5,15,17.4,19.4,7.4,4.5,3.83,
10,f,5,15,20.04,20.91,7.81,4.09,3.89,
11,f,5,15,16.19,19.97,6.86,4.61,4.53,
12,m,5,15,16.2,18.59,7.83,4.61,3.89,
13,f,5,15,17.1,18.67,6.85,4.97,3.91,
14,f,5,15,15.62,20.64,6.6,4.15,4.12,
15,m,5,15,14.94,18.23,6.47,5.11,3.7,
16,f,5,15,23.44,21.59,8.66,4.43,4.25,
17,f,5,15,17.31,20.24,7.43,4.31,4.28,
18,m,5,15,12.51,17.66,6.84,4.34,3.92,
19,f,5,15,15.82,20.36,7.39,4.63,4.44,
20,m,5,15,16.47,18,8.12,4.21,4.39,
21,m,5,30,17.32,19.58,7.21,3.85,3.81,
22,f,5,30,20.77,22.34,8.74,4.08,4.16,
23,m,5,30,15.53,18.52,6.7,3.98,4.34,
24,m,5,30,14.78,19.22,6.66,4.5,4.29,
25,m,5,30,15.41,20.23,8.46,4.99,4.04,
26,m,5,30,13.56,19.18,6.98,4.92,4.09,
27,f,5,30,13.46,17.93,6.86,4.23,3.96,
28,f,5,30,17.13,20.74,7.01,3.3,4.07,
29,f,5,30,17.29,21.98,9,4.19,4.06,
30,f,5,30,12.96,18.69,7.36,4.1,3.97,
31,f,5,30,17.72,20.47,7.76,4.78,4,
32,m,5,30,13.72,20.03,6.93,3.32,4.22,
33,m,5,30,16.44,19.7,7.91,4.59,4.27,
34,m,5,30,16.34,19.59,7.67,4.41,4.15,
35,f,5,30,16.22,19.65,7.22,4.76,4.36,
36,f,5,30,15.56,19.82,7.26,4.8,4.57,
37,,5,30,14.48,20.92,7.87,4.35,4.03,
38,m,5,30,17.83,19.27,6.64,4.48,4.44,
39,f,5,30,15.09,19.39,7.06,4.81,3.29,
40,,5,30,12.94,19.02,6.6,3.93,3.97,
