YEAR,MONTH,DATE,SITE,TRANSECT,QUAD,SIDE,FRONDS,HLD_DIAM,OBS_CODE,NOTES
2000,9,2000-09-28,BULL,1,20,,2,-99999,6,Estimate from kelp subadult dataset
2000,9,2000-09-28,BULL,1,20,,4,7,6,-99999
2000,9,2000-09-28,BULL,1,20,,2,-99999,6,Estimate from kelp subadult dataset
2000,9,2000-09-28,BULL,1,20,,2,-99999,6,Estimate from kelp subadult dataset
2000,9,2000-09-28,BULL,1,20,,2,-99999,6,Estimate from kelp subadult dataset
2000,9,2000-09-28,BULL,1,20,,2,-99999,6,Estimate from kelp subadult dataset
2000,9,2000-09-28,BULL,1,40,,2,-99999,6,Estimate from kelp subadult dataset
2000,9,2000-09-28,BULL,2,20,,11,65,2,-99999
2000,9,2000-09-28,BULL,2,20,,16,55,2,-99999
2000,9,2000-09-28,BULL,2,20,,34,55,2,-99999
2000,9,2000-09-28,BULL,2,40,,2,-99999,3,Estimate from kelp subadult dataset
2000,9,2000-09-28,BULL,2,40,,2,-99999,3,Estimate from kelp subadult dataset
2000,9,2000-09-28,BULL,2,40,,2,-99999,3,Estimate from kelp subadult dataset
2000,9,2000-09-28,BULL,2,40,,2,-99999,3,Estimate from kelp subadult dataset
2000,9,2000-09-26,BULL,3,20,,2,-99999,6,Estimate from kelp subadult dataset
2000,9,2000-09-28,BULL,3,20,,27,65,2,-99999
2000,9,2000-09-28,BULL,3,20,,38,60,2,-99999
2000,9,2000-09-28,BULL,3,20,,44,65,2,-99999
2000,9,2000-09-28,BULL,3,20,,65,68,2,-99999
2000,9,2000-09-26,BULL,3,40,,2,-99999,6,Estimate from kelp subadult dataset
2000,9,2000-09-28,BULL,4,20,,0,0,2,NO KELP
2000,9,2000-09-28,BULL,4,40,,0,0,2,NO KELP
2000,9,2000-09-28,BULL,5,20,,0,0,2,NO KELP
2000,9,2000-09-28,BULL,5,40,,4,15,2,-99999
2000,9,2000-09-26,BULL,6,20,,2,-99999,6,Estimate from kelp subadult dataset
2000,9,2000-09-26,BULL,6,20,,2,-99999,6,Estimate from kelp subadult dataset
2000,9,2000-09-26,BULL,6,20,,2,-99999,6,Estimate from kelp subadult dataset
2000,9,2000-09-26,BULL,6,20,,2,-99999,6,Estimate from kelp subadult dataset
2000,9,2000-09-26,BULL,6,20,,2,-99999,6,Estimate from kelp subadult dataset
2000,9,2000-09-26,BULL,6,20,,2,-99999,6,Estimate from kelp subadult dataset
2000,9,2000-09-26,BULL,6,20,,2,-99999,6,Estimate from kelp subadult dataset
2000,9,2000-09-26,BULL,6,20,,2,-99999,6,Estimate from kelp subadult dataset
2000,9,2000-09-26,BULL,6,20,,2,-99999,6,Estimate from kelp subadult dataset
2000,9,2000-09-26,BULL,6,20,,2,-99999,6,Estimate from kelp subadult dataset
