rack,bench,bench_pos,rack_pos,rhizobia,rhiz_region,plant_pop,date_planted,in_leaf_num,in_height,leaf_mar12,height_mar12,branch_mar12,flower_mar23,height_apr20,nodule_count
1,1,1,1,rSCWRS,edge,KZA,28-Jan-10,3,6,7,10.5,0,0,31.5,26
1,1,1,2,rSCWRS,edge,GCD,28-Jan-10,2,1.5,1,5,0,0,0,0
1,1,1,3,rSCWRS,edge,TYS,28-Jan-10,4,7.5,9,14,0,0,29,33
1,1,1,4,rSCWRS,edge,CRA,31-Jan-10,3,5.5,10,12,0,0,37,55
1,1,1,5,rSCWRS,edge,CRA,31-Jan-10,3,5,8,9.5,0,0,32,19
1,1,1,6,rSCWRS,edge,TYS,28-Jan-10,4,6.5,10,13.5,0,0,26.5,30
1,1,1,7,rSCWRS,edge,GCD,28-Jan-10,4,7.5,7,12.5,0,0,34,42
1,1,1,8,rSCWRS,edge,KZA,28-Jan-10,3,5.5,8,10.5,0,0,27,34
2,1,2,1,rACNW,beyond,GCD,8-Feb-10,2,5,8,12.5,0,0,33,34
2,1,2,2,rACNW,beyond,TYS,1-Feb-10,3,4,7,11,0,0,31,31
2,1,2,3,rACNW,beyond,KZA,25-Jan-10,5,7.5,8,11.5,0,0,27,41
2,1,2,4,rACNW,beyond,CRA,25-Jan-10,5,8.5,10,12.5,0,0,30.5,25
2,1,2,5,rACNW,beyond,KZA,29-Jan-10,4,6,8,12,0,0,28.5,38
2,1,2,6,rACNW,beyond,CRA,25-Jan-10,5,8,10,16.5,0,0,44,30
2,1,2,7,rACNW,beyond,TYS,8-Feb-10,2,3.5,7,11,0,0,32.5,48
2,1,2,8,rACNW,beyond,GCD,31-Jan-10,3,5,8,12,0,0,25,51
3,1,3,1,rCRA,interior,TYS,1-Feb-10,2,4.5,6,9,0,0,13.5,0
3,1,3,2,rCRA,interior,GCD,27-Jan-10,3,6.5,6,10,0,0,30,1
3,1,3,3,rCRA,interior,CRA,27-Jan-10,4,9,9,15,0,0,30.5,1
3,1,3,4,rCRA,interior,KZA,30-Jan-10,3,5.5,5,8.5,0,0,13.5,0
