Year,Month,Day,Extent,Missing,Month_Name
1978,11,1,10.67,0,Nov
1978,12,1,12.725,0,Dec
1979,2,1,15.857,0,Feb
1979,3,1,16.635,0,Mar
1979,6,1,13.076,0,Jun
1979,7,1,11.562,0,Jul
1979,9,1,7.228,0,Sep
1979,10,1,7.404,0,Oct
1980,1,1,14.2,0,Jan
1980,3,1,16.157,0,Mar
1980,6,1,12.766,0,Jun
1980,7,1,11.283,0,Jul
1980,9,1,7.544,0,Sep
1980,10,1,8.223,0,Oct
1981,1,1,14.256,0,Jan
1981,4,1,15.44,0,Apr
1981,5,1,14.272,0,May
1981,8,1,8.733,0,Aug
1981,11,1,9.905,0,Nov
1981,12,1,11.99,0,Dec
1982,2,1,15.836,0,Feb
1982,3,1,16.234,0,Mar
1982,6,1,13.091,0,Jun
1982,7,1,11.425,0,Jul
1982,9,1,7.404,0,Sep
1982,10,1,7.768,0,Oct
1983,1,1,14.253,0,Jan
1983,4,1,15.886,0,Apr
1983,5,1,14.045,0,May
1983,8,1,9.224,0,Aug
1983,11,1,10.549,0,Nov
1983,12,1,12.769,0,Dec
1984,2,1,15.026,0,Feb
1984,4,1,15.389,0,Apr
1984,5,1,14.194,0,May
1984,8,1,8.745,0,Aug
1984,11,1,9.565,0,Nov
1984,12,1,11.968,0,Dec
1985,2,1,15.252,0,Feb
1985,3,1,15.791,0,Mar
1985,6,1,13.063,0,Jun
1985,7,1,11.135,0,Jul
1985,9,1,6.724,0,Sep
1985,10,1,7.365,0,Oct
1986,1,1,14.036,0,Jan
1986,4,1,15.636,0,Apr
1986,5,1,14.275,0,May
1986,8,1,8.762,0,Aug
1986,11,1,10.473,0,Nov
1986,12,1,12.591,0,Dec
1987,2,1,15.81,0,Feb
1987,3,1,16.059,0,Mar
1987,6,1,13.042,0,Jun
1987,7,1,11.423,0,Jul
1987,9,1,6.967,0,Sep
1987,10,1,8.039,0,Oct
1987,11,1,10.163,0,Nov
1987,12,1,12.497,0,Dec
1988,2,1,15.56,0,Feb
1988,3,1,16.129,0,Mar
1988,4,1,15.523,0,Apr
1988,5,1,14.362,0,May
1988,6,1,12.608,0,Jun
1988,7,1,10.98,0,Jul
1988,8,1,8.588,0,Aug
1988,9,1,7.189,0,Sep
1988,10,1,8.069,0,Oct
1988,11,1,10.162,0,Nov
1988,12,1,12.699,0,Dec
1989,1,1,14.261,0,Jan
1989,2,1,15.386,0,Feb
1989,3,1,15.557,0,Mar
1989,4,1,15.116,0,Apr
1989,5,1,13.363,0,May
1989,6,1,12.729,0,Jun
1989,7,1,11.34,0,Jul
1989,8,1,8.83,0,Aug
1989,9,1,7.088,0,Sep
1989,10,1,7.453,0,Oct
1989,11,1,10.213,0,Nov
1989,12,1,12.597,0,Dec
1990,1,1,14.319,0,Jan
1990,2,1,15.351,0,Feb
1990,3,1,16.021,0,Mar
1990,4,1,15.533,0,Apr
1990,5,1,13.621,0,May
1990,6,1,12.361,0,Jun
1990,7,1,10.624,0,Jul
1990,8,1,7.686,0,Aug
1990,9,1,6.198,0,Sep
1990,10,1,6.626,0,Oct
1990,11,1,10.155,0,Nov
1990,12,1,12.279,0,Dec
1991,1,1,13.634,0,Jan
1991,2,1,14.852,0,Feb
1991,3,1,15.488,0,Mar
1991,4,1,15.482,0,Apr
1991,5,1,14.068,0,May
1991,6,1,12.781,0,Jun
1991,7,1,10.992,0,Jul
1991,8,1,7.969,0,Aug
1991,9,1,6.766,0,Sep
1991,10,1,6.85,0,Oct
1991,11,1,9.854,0,Nov
1991,12,1,12.026,0,Dec
1992,1,1,14.069,0,Jan
1992,2,1,15.419,0,Feb
1992,3,1,15.487,0,Mar
1992,4,1,15.311,0,Apr
1992,5,1,13.867,0,May
1992,6,1,12.665,0,Jun
1992,7,1,11.38,0,Jul
1992,8,1,8.888,0,Aug
1992,9,1,7.235,0,Sep
1992,10,1,8.359,0,Oct
1992,11,1,10.376,0,Nov
1992,12,1,12.715,0,Dec
1993,1,1,14.035,0,Jan
1993,2,1,15.449,0,Feb
1993,3,1,15.754,0,Mar
1993,4,1,15.598,0,Apr
1993,5,1,14.172,0,May
1993,6,1,12.431,0,Jun
1993,7,1,10.845,0,Jul
1993,8,1,8.306,0,Aug
1993,9,1,6.348,0,Sep
1993,10,1,7.251,0,Oct
1993,11,1,10.29,0,Nov
1993,12,1,12.288,0,Dec
1994,1,1,14.095,0,Jan
1994,2,1,15.409,0,Feb
1994,3,1,15.675,0,Mar
1994,4,1,15.47,0,Apr
1994,5,1,14.126,0,May
1994,6,1,12.779,0,Jun
1994,7,1,11.091,0,Jul
1994,8,1,8.505,0,Aug
1994,9,1,7.072,0,Sep
1994,10,1,7.894,0,Oct
1994,11,1,10.241,0,Nov
1994,12,1,12.284,0,Dec
1995,1,1,14.145,0,Jan
1995,2,1,15.054,0,Feb
1995,3,1,15.344,0,Mar
1995,4,1,15.219,0,Apr
1995,5,1,13.556,0,May
1995,6,1,12.096,0,Jun
1995,7,1,10.423,0,Jul
1995,8,1,7.513,0,Aug
1995,9,1,6.189,0,Sep
1995,10,1,6.163,0,Oct
1995,11,1,10.003,0,Nov
1995,12,1,12.195,0,Dec
1996,1,1,13.804,0,Jan
1996,2,1,14.706,0,Feb
1996,3,1,15.23,0,Mar
1996,4,1,14.827,0,Apr
1996,5,1,13.547,0,May
1996,6,1,12.494,0,Jun
1996,7,1,11.269,0,Jul
1996,8,1,8.925,0,Aug
1996,9,1,7.356,0,Sep
1996,10,1,8.279,0,Oct
1996,11,1,9.812,0,Nov
1996,12,1,11.605,0,Dec
1997,1,1,13.657,0,Jan
1997,2,1,15.013,0,Feb
1997,3,1,15.578,0,Mar
1997,4,1,15.206,0,Apr
1997,5,1,13.906,0,May
1997,6,1,12.29,0,Jun
1997,7,1,10.667,0,Jul
1997,8,1,7.979,0,Aug
1997,9,1,6.671,0,Sep
1997,10,1,7.066,0,Oct
1997,11,1,9.788,0,Nov
1997,12,1,12.249,0,Dec
1998,1,1,14.025,0,Jan
1998,2,1,15.512,0,Feb
1998,3,1,15.786,0,Mar
1998,4,1,15.37,0,Apr
1998,5,1,14.157,0,May
1998,6,1,12.638,0,Jun
1998,7,1,10.365,0,Jul
1998,8,1,8.309,0,Aug
1998,9,1,6.705,0,Sep
1998,10,1,7.248,0,Oct
1998,11,1,9.523,0,Nov
1998,12,1,11.543,0,Dec
1999,1,1,13.823,0,Jan
1999,2,1,14.947,0,Feb
1999,3,1,15.26,0,Mar
1999,4,1,15.486,0,Apr
1999,5,1,14.35,0,May
1999,6,1,12.857,0,Jun
1999,7,1,10.33,0,Jul
1999,8,1,8.389,0,Aug
1999,9,1,6.192,0,Sep
1999,10,1,7.083,0,Oct
1999,11,1,10.102,0,Nov
1999,12,1,11.705,0,Dec
2000,1,1,13.442,0,Jan
2000,2,1,14.991,0,Feb
2000,3,1,15.446,0,Mar
2000,4,1,15.122,0,Apr
2000,5,1,13.943,0,May
2000,6,1,12.316,0,Jun
2000,7,1,10.703,0,Jul
2000,8,1,8.004,0,Aug
2000,9,1,6.229,0,Sep
2000,10,1,6.802,0,Oct
2000,11,1,9.607,0,Nov
2000,12,1,11.663,0,Dec
2001,1,1,13.479,0,Jan
2001,2,1,14.908,0,Feb
2001,3,1,15.637,0,Mar
2001,4,1,15.105,0,Apr
2001,5,1,14.287,0,May
2001,6,1,12.456,0,Jun
2001,7,1,10.064,0,Jul
2001,8,1,8.079,0,Aug
2001,9,1,6.789,0,Sep
2001,10,1,7.261,0,Oct
2001,11,1,9.733,0,Nov
2001,12,1,11.414,0,Dec
2002,1,1,13.59,0,Jan
2002,2,1,15.187,0,Feb
2002,3,1,15.397,0,Mar
2002,4,1,14.885,0,Apr
2002,5,1,13.527,0,May
2002,6,1,12.239,0,Jun
2002,7,1,10.575,0,Jul
2002,8,1,7.588,0,Aug
2002,9,1,5.828,0,Sep
2002,10,1,6.543,0,Oct
2002,11,1,9.299,0,Nov
2002,12,1,11.728,0,Dec
2003,1,1,13.647,0,Jan
2003,2,1,14.946,0,Feb
2003,3,1,15.555,0,Mar
2003,4,1,15.232,0,Apr
2003,5,1,13.71,0,May
2003,6,1,12.386,0,Jun
2003,7,1,10.45,0,Jul
2003,8,1,7.788,0,Aug
2003,9,1,6.283,0,Sep
2003,10,1,6.441,0,Oct
2003,11,1,9.367,0,Nov
2003,12,1,11.327,0,Dec
2004,1,1,13.502,0,Jan
2004,2,1,14.36,0,Feb
2004,3,1,15.104,0,Mar
2004,4,1,14.742,0,Apr
2004,5,1,13.203,0,May
2004,6,1,11.965,0,Jun
2004,7,1,10.633,0,Jul
2004,8,1,8.125,0,Aug
2004,9,1,5.93,0,Sep
2004,10,1,6.621,0,Oct
2004,11,1,9.16,0,Nov
2004,12,1,11.629,0,Dec
2005,1,1,13.16,0,Jan
2005,2,1,14.031,0,Feb
2005,3,1,14.874,0,Mar
2005,4,1,14.398,0,Apr
2005,5,1,13.581,0,May
2005,6,1,12.019,0,Jun
2005,7,1,9.971,0,Jul
2005,8,1,7.107,0,Aug
2005,9,1,5.654,0,Sep
2005,10,1,5.836,0,Oct
2005,11,1,9.336,0,Nov
2005,12,1,11.306,0,Dec
2006,1,1,13.16,0,Jan
2006,2,1,14.081,0,Feb
2006,3,1,14.434,0,Mar
2006,4,1,14.22,0,Apr
2006,5,1,13.087,0,May
2006,6,1,11.868,0,Jun
2006,7,1,9.63,0,Jul
2006,8,1,7.325,0,Aug
2006,9,1,5.937,0,Sep
2006,10,1,5.984,0,Oct
2006,11,1,9.113,0,Nov
2006,12,1,10.34,0,Dec
2007,1,1,13.11,0,Jan
2007,2,1,14.222,0,Feb
2007,3,1,14.682,0,Mar
2007,4,1,14.267,0,Apr
2007,5,1,13.367,0,May
2007,6,1,12.029,0,Jun
2007,7,1,9.632,0,Jul
2007,8,1,6.461,0,Aug
2007,9,1,4.475,0,Sep
2007,10,1,4.614,0,Oct
2007,11,1,8.498,0,Nov
2007,12,1,10.916,0,Dec
2008,1,1,13.206,0,Jan
2008,2,1,14.563,0,Feb
2008,3,1,15.27,0,Mar
2008,4,1,14.989,0,Apr
2008,5,1,13.649,0,May
2008,6,1,12.164,0,Jun
2008,7,1,9.93,0,Jul
2008,8,1,7.203,0,Aug
2008,9,1,4.828,0,Sep
2008,10,1,5.254,0,Oct
2008,11,1,9.363,0,Nov
2008,12,1,11.492,0,Dec
2009,1,1,13.189,0,Jan
2009,2,1,14.502,0,Feb
2009,3,1,15.168,0,Mar
2009,4,1,14.73,0,Apr
2009,5,1,13.956,0,May
2009,6,1,12.139,0,Jun
2009,7,1,10.054,0,Jul
2009,8,1,6.994,0,Aug
2009,9,1,5.355,0,Sep
2009,10,1,5.682,0,Oct
2009,11,1,8.723,0,Nov
2009,12,1,11.13,0,Dec
2010,1,1,13.205,0,Jan
2010,2,1,14.209,0,Feb
2010,3,1,14.914,0,Mar
2010,4,1,15.279,0,Apr
2010,5,1,13.88,0,May
