Infected County,Human WNV,Species Richness,All Birds,Corvids,Sparrows,Robins,Thrushes,Finches
"Autauga, AL                    ",2.29,66,653,8,0,0,20,21
"Calhoun , AL                     ",0.891,67,645,64,2,14,23,11
"Chambers, AL                        ",2.734,41,355,69,0,9,22,0
"Dallas , AL                         ",2.157,60,545,66,4,0,24,8
"Marengo , AL                        ",8.874,69,707,64,0,1,23,10
"Marion, AL                          ",3.204,65,499,50,1,4,26,4
"Mobile, AL                          ",1.25,56,464,59,0,0,3,12
"Montgomery , AL                     ",4.474,65,659,129,0,0,14,20
"Tuscaloosa, AL                      ",4.246,54,498,54,0,2,21,12
"Hartford, CT                        ",0.7,52,924,100,27,39,73,54
"Kent, DE                            ",0.789,81,2609,62,146,185,242,143
"Hillsborough, FL                ",0.1,51,807,82,16,0,0,0
"Houston, GA                     ",1.806,47,550,102,0,0,15,12
"Henderson, IL                   ",24.352,59,1454,35,108,97,109,44
"LaSalle, IL                     ",9.865,49,1700,31,140,206,207,33
"Menard, IL                      ",8.009,51,767,13,29,63,63,21
"St. Clair, IL                   ",5.858,72,1268,51,141,139,150,58
"Stephenson, IL                  ",2.042,53,1275,60,126,94,102,20
"Tazewell, IL                    ",0.778,54,945,10,98,94,99,30
"Winnebago, IL                   ",0.359,49,863,87,44,99,102,18
"Fulton, IN                      ",9.751,61,1115,53,65,107,120,62
"Jackson, IN                     ",12.096,81,1007,57,11,40,78,84
"Vanderburgh, IN                 ",2.908,62,1020,34,52,60,62,53
"Edmonson, KY                    ",8.588,70,1032,86,57,59,102,66
"Anne Arundel, MD                ",1.634,71,857,75,16,25,46,81
"Baltimore, MD                   ",0.133,57,803,102,32,69,97,75
"Frederick, MD                   ",2.56,87,4441,216,471,272,421,276
"Washington, MD                  ",0.758,64,1486,71,125,152,182,131
"Essex, MA                       ",0.276,50,573,43,18,33,51,21
"Middlesex, MA                   ",0.682,62,589,57,38,27,34,47
"Worcester, MA                   ",0.133,71,1118,98,6,93,131,92
"Cass, MI                        ",7.827,70,950,84,35,60,69,59
"Eaton, MI                       ",0.965,59,1076,44,96,88,98,72
"Lapeer, MI                      ",1.138,63,1128,109,28,70,75,47
"Lauderdale, MS                  ",2.559,58,1059,165,2,2,40,62
"Cumberland, NJ                  ",0.683,51,665,44,6,49,57,9
"Middlesex, NJ                   ",0.133,46,951,68,15,115,117,27
"Broome, NY                      ",3.491,66,763,48,16,56,63,24
"Clinton, NY                     ",1.252,53,506,34,1,49,71,18
"Erie, NY                        ",0.947,59,1668,63,57,261,267,53
"Yates, NY                       ",4.062,58,911,35,28,54,61,32
"Marion, OH                      ",4.531,56,991,52,65,93,105,47
"Ross, OH                        ",1.363,58,588,24,0,16,80,37
"Beaver, PA                      ",0.551,43,553,39,42,53,53,36
"Erie, PA                        ",1.424,65,1046,41,16,76,80,69
"Franklin, PA                    ",0.773,51,499,32,1,28,31,14
"Lancaster, PA                   ",1.487,51,1404,47,69,115,121,60
"Lycoming, PA                    ",0.833,63,565,23,0,27,39,32
"Montgomery, PA                  ",0.267,54,1874,135,83,258,260,189
"Westmoreland, PA                ",0.27,60,1098,49,59,170,175,28
"Haywood, TN                     ",5.051,53,538,32,21,24,40,55
"Sumner, TN                      ",0.767,39,392,27,2,14,19,11
"Putnam, WV                      ",1.938,62,1026,63,22,79,95,76
"Wood, WV                        ",2.273,67,565,15,9,47,67,30
"Adams, WI                       ",5.364,68,704,45,5,28,35,39
"Clark, WI                       ",2.98,82,2056,144,100,174,195,58
"Green, WI                       ",2.972,70,1876,61,78,123,128,81
"Lincoln, WI                     ",3.374,76,929,71,0,56,74,55
"Manitowoc, WI                   ",1.206,58,1919,57,256,110,111,53
"Marinette, WI                   ",2.305,60,561,29,0,44,66,52
"Marquette, WI                   ",6.316,72,609,66,14,20,36,41
"Racine, WI                      ",2.118,59,1243,36,161,115,115,52
"Rusk, WI                        ",6.516,72,649,46,8,47,63,30
"Sauk, WI                        ",1.811,62,652,57,16,39,52,46
