temperature,rate
11.9,155.03
14.4,142.33
15.3,140.11
16.4,142.65
17.9,135.24
20.4,130.16
19.9,124.55
19.4,124.76
14.9,132.28
13.3,134.5
12.9,124.66
13.9,124.76
15,124.97
12.4,114.6
12.9,114.6
20.4,110.05
13.4,109.63
14.3,109.74
13.9,104.87
12.4,104.76
11.4,104.66
11.9,99.89
12.4,99.89
13.9,99.89
13,94.81
11.9,80
12.5,79.89
13,74.92
13.5,74.92
11.5,59.89
16.6,75.13
17.5,75.03
19.6,80
20.5,84.87
19.9,94.81
20.5,75.03
20.5,70.05
21.1,69.95
23,79.89
23.5,82.75
26.6,80.21
27.2,59.89
29.1,80.42
33.5,90.26
32.5,75.03
33.1,75.34
33.6,70.05
34,65.19
31.6,70.16
30.6,67.72
30.1,65.29
32.1,55.34
32.7,55.03
33.7,60.42
33.1,50.58
29.2,44.66
13.1,44.97
