ID,Genus,Species,Body.Temperature..C.,Body.Mass..g.,Basal.Metabolic.Rate..W.,Air.temperature..C.
1,Suncus,etruscus,38.7,2.4,0.08,15.15494418
2,Sorex,cinereus,38.4,3.5,0.176,-0.193960256
3,Myotis,nigricans,*,3.7,0.027,22.59036626
4,Notiosorex,crawfordi,37.6,4,0.074,15.73159067
5,Sorex,minutus,38.5,4,0.172,1.558387118
6,Pteronotus,quadridens,31,4.9,0.034,14.17588417
7,Myotis,yumanensis,*,5,0.047,10.72444327
8,Peropteryx,macrotis,34.4,5,0.065,23.24524272
9,Myotis,lucifugus,37.2,5.2,0.05,4.145031991
10,Sorex,vagrans,38,5.2,0.157,6.213954611
11,Natalus,tumidirostris,32.2,5.4,0.046,22.68938337
12,Cryptotis,parva,37,6.2,0.107,15.19667537
13,Crocidura,suaveolens,35.1,6.5,0.105,7.255320331
14,Geogale,aurita,34.9,6.9,0.043,19.26783927
15,Planigale,ingrami,*,7.1,0.063,22.65963495
16,Planigale,tenuirostris,34.5,7.1,0.063,19.88279148
17,Baiomys,taylori,36,7.15,0.095,17.91338364
18,Micromys,minutus,38,7.37,0.118,4.255074885
19,Saccopteryx,bilineata,35.5,7.8,0.081,23.04513404
20,Sorex,alpinus,38.6,7.9,0.269,5.869279489
21,Nyctophilus,geoffroyi,31.6,8,0.062,19.7688551
22,Sorex,araneus,*,8.05,0.336,0.983820157
23,Mus,minutoides,36.3,8.06,0.134,17.73614992
24,Rhinonicteris,aurantia,36.1,8.27,0.09,23.16073464
25,Perognathus,flavus,34.6,8.3,0.097,13.67504636
26,Hipposideros,galeritus,31.9,8.5,0.05,23.02198566
27,Mormoops,blainvillei,32,8.6,0.045,14.07190362
28,Monophyllus,redmani,34,8.7,0.062,13.58876169
29,Vampyressa,pusilla,*,8.8,0.104,21.84253169
30,Perognathus,longimembris,34.7,8.9,0.053,11.21900686
31,Reithrodontomys,megalotis,36.8,9,0.13,11.10506493
32,Planigale,gilesi,35.1,9.1,0.039,19.89199145
33,Sorex,coronatus,37.6,9.1,0.29,8.46196955
34,Pteronotus,davyi,38.8,9.4,0.085,19.42344421
35,Rhinophylla,fischerae,*,9.5,0.091,24.10810379
36,Rhinophylla,pumilio,34.7,9.5,0.104,23.90306907
37,Glossophaga,soricina,35.5,9.6,0.164,22.06680761
38,Sorex,ornatus,*,9.7,0.292,11.06241809
39,Crocidura,hildegardeae,35.7,10,0.145,22.41095955
