"","Year","Month","Station","DIN","DIP","CHLFa","SIL","TN","TP","SAL","T","ZS"
"1",1990,1,"DANT",55.36,1.65,1.3,20.11,105.71,9.07,29.19,4,135
"2",1990,1,"DREI",35.36,4.39,0.5,20.11,58.57,5.2,29.91,4.4,1
"3",1990,1,"G6",58.5,2.03,2.3,20.11,77.86,4.39,30.7,6.4,49
"4",1990,1,"GROO",262.79,2.78,0.7,92.2,322.14,12.92,15.15,3.9,132
"5",1990,1,"HAMM",46.5,2.05,0.665,18.51,61.075,3.1,31.585,5.8,13.5
"6",1990,1,"HANS",281.715,9.995,1.78,103.6,323.57,17.5,18.18,5.9,70.5
"7",1990,1,"HUIB",47.5,1.58,1.2,17.41,69.29,2.58,30.5,3.7,15
"8",1990,1,"LODS",47.18,1.955,0.745,15.415,66.785,3.115,30.995,5.25,15
"9",1990,1,"MARS",57.29,1.97,1.7,13.53,75,3.04,29.07,5.7,11
"10",1990,1,"N02",67.5,2.58,0.6,19.83,77.14,3.42,30.2,6.6,10
"12",1990,1,"N20",41.14,1.84,0.7,11.89,50.71,2.2,32.36,7.1,4
"13",1990,1,"N70",8.86,0.48,0.7,4.95,14.29,0.74,35.21,9.4,4
"15",1990,1,"SOEL",76.79,16.79,1.8,154.5,117.86,18.53,20.32,4.8,2
"16",1990,1,"T004",35.36,1.61,2.2,8.9,54.29,3.1,32.29,6.2,26
"17",1990,1,"T010",27.29,1.39,1,6.66,36.43,1.87,33.28,7.3,4
"18",1990,1,"T100",7.36,0.68,0.3,5.27,14.29,0.74,34.82,8.5,2
"19",1990,1,"T135",4.36,0.65,0.3,4.91,10,0.81,34.85,8.6,1
"20",1990,1,"T175",3.57,0.48,0.4,3.84,12.14,0.61,34.71,8.7,1
"21",1990,1,"T235",2.21,0.23,0.4,1.17,7.86,0.45,34.79,7.1,1
"22",1990,1,"VLIS",75.14,3.31,2.1,26.95,99.285,6.735,31.075,6.25,63
"23",1990,1,"W02",37.93,1.97,2.1,13.85,58.57,4.49,32.95,6.3,52
"24",1990,1,"W20",20,1.29,2,7.08,29.29,1.81,34.18,7.5,11
"25",1990,1,"W70",7.64,0.52,0.5,4.41,15,0.81,35.29,10.3,8
"26",1990,1,"WISS",42.855,1.92,0.99,17.39,57.14,3.31,32.175,5.95,27
"27",1990,1,"ZIJP",59.925,2.41,0.6,23.835,75.715,3.02,29.095,5.5,3.5
"28",1990,1,"ZUID",68.36,1.94,1.4,28.05,107.86,6.43,29.31,3.2,50
"30",1990,2,"DREI",40.71,2.58,0.9,21,63.57,3.29,30.17,6,3
"33",1990,2,"HAMM",50.93,1.32,1.6,20.9,62.86,2.55,32.08,7,22
"34",1990,2,"HANS",373.43,7.91,1.43,126.02,417.86,14.37,15.15,6.8,55
"36",1990,2,"LODS",53.79,1.03,3.2,19.26,75,3.45,31.21,7,41
"43",1990,2,"SOEL",144.21,14.5,3.3,173.37,187.14,16.27,18.85,6,5
"50",1990,2,"VLIS",104.14,3.39,2.3,35.96,127.86,6.23,30.23,6.8,45
"54",1990,2,"WISS",47.64,1.32,1.8,18.83,57.86,2.74,32.57,7,28
"55",1990,2,"ZIJP",62.64,1.42,1.3,24.71,73.57,2.26,29.29,6.9,8
"57",1990,3,"DANT",100,0.71,21.1,19.37,145,5.75,24.99,7.3,103
"58",1990,3,"DREI",40.36,1.13,2.8,16.59,67.14,2.23,30.09,6.6,3
"60",1990,3,"GROO",394.21,2.39,4,127.8,444.29,8.91,10.81,7.1,99.1
"61",1990,3,"HAMM",55.5,1.29,2.6,18.3,67.86,2.26,31.98,9.1,13
"62",1990,3,"HANS",370.86,6.97,1.81,119.62,419.29,12.46,15.55,9.7,50
"63",1990,3,"HUIB",35.36,0.84,3.1,10.86,46.43,1.49,31.47,6.7,19.1
"64",1990,3,"LODS",51.36,0.77,5.6,12.92,67.86,1.61,31.58,9.1,7
"71",1990,3,"SOEL",133.43,12.04,5.4,152.37,179.29,14.27,18.48,6.7,3
"78",1990,3,"VLIS",111.79,2.74,3.6,36.67,131.43,5.39,30.4,9,46
"82",1990,3,"WISS",51.57,1.29,3,16.73,64.29,2.29,32.41,9.1,13
"83",1990,3,"ZIJP",74.64,0.19,26.8,7.12,97.86,1.45,28.12,8.7,4
"84",1990,3,"ZUID",39.29,0.68,7.4,14.52,69.29,4.78,32.51,7.4,81
"85",1990,4,"DANT",48.43,0.81,25,6.27,105,7.49,28.79,8.2,113
"86",1990,4,"DREI",25.14,0.97,2.6,7.87,47.14,2.03,30.71,10.2,2
"87",1990,4,"G6",40.29,0.74,23.3,0.89,59.29,2.55,30.55,9.8,25
"88",1990,4,"GROO",251.86,2.52,8.7,98.61,336.43,16.02,16.47,8.7,121
"89",1990,4,"HAMM",33.07,0.45,7.03,1.25,47.86,1.1,31.86,9.7,8
"90",1990,4,"HANS",303.64,7.27,6.06,95.41,352.86,12.72,18.8,10.1,45
"91",1990,4,"HUIB",46.93,0.39,10.7,1.25,65,1.61,30.46,9.3,16
"92",1990,4,"LODS",32,0.42,5.16,1.53,45,0.9,31.68,9.8,3
"93",1990,4,"MARS",32.57,0.39,12.4,1,87.86,2.39,27.21,9.3,12
"94",1990,4,"N02",79.36,2.23,13.4,6.87,98.57,4.84,27.72,9.4,32
"96",1990,4,"N20",2.86,0.26,24,1.53,26.43,1.52,33.68,9,4
"97",1990,4,"N70",0.21,0.02,1.3,0.53,5,0.68,35.33,9,3
"99",1990,4,"SOEL",32.57,6.26,43.6,46.99,95.71,8.81,19.8,10.5,5
"100",1990,4,"T004",3.21,0.06,22.9,1.5,32.14,1.52,32.97,9.1,21
"101",1990,4,"T010",1.64,0.02,10,1.14,11.43,0.52,34.43,8.9,4
"102",1990,4,"T100",0.64,0.16,0.6,1.39,7.14,0.52,34.8,7.8,3
"103",1990,4,"T135",1.07,0.23,0.5,1.89,6.43,0.45,34.89,7.7,7
"104",1990,4,"T175",1.14,0.13,0.3,1.21,7.86,0.52,35.22,7.9,2
"105",1990,4,"T235",0.79,0.06,1.4,0.36,6.43,0.52,35.26,7.9,2
"106",1990,4,"VLIS",71.36,1.74,15.8,10.82,90.71,3.71,30.98,9.7,26
"107",1990,4,"W02",20.21,0.42,25.9,0.93,44.29,3.36,33,9.6,55
"108",1990,4,"W20",24.57,0.42,22.2,0.85,37.86,1.74,33.28,9.4,18
"109",1990,4,"W70",1.07,0.03,12.1,0.68,7.86,0.84,35.25,9.4,4
"110",1990,4,"WISS",19.79,0.19,12.56,1.25,38.57,1.32,32.53,9.6,4
"111",1990,4,"ZIJP",43.64,0.65,2.2,3.31,58.57,1.16,30.88,10.3,5
"112",1990,4,"ZUID",51.36,0.74,14.7,3.74,82.14,3.29,29.14,8.2,35
"113",1990,5,"DANT",2.29,1.16,10.2,1.71,28.57,3.26,33.28,17.4,20
"114",1990,5,"DREI",0.46,2.115,3.05,5.075,26.785,3.52,31.3,16.35,2
"115",1990,5,"G6",14.14,0.26,5.5,1.5,39.29,1.61,31.91,13.8,3
"116",1990,5,"GROO",117.43,3.13,14.1,43.65,155.71,5.55,17.55,20.8,33
"117",1990,5,"HAMM",13.07,1,3.7,5.48,30.71,2.32,32.87,15.2,6
"118",1990,5,"HANS",242.43,6.43,72.7,14.56,520,11.46,19.4,15.4,41
"119",1990,5,"HUIB",45,0.71,2.4,1.14,57.14,1.49,29.81,15,2
"120",1990,5,"LODS",0.64,0.26,2.3,1.96,24.29,2.03,32.19,16.5,6
"121",1990,5,"MARS",11.64,0.39,18,0.64,52.86,3.13,30.47,14.5,13
"122",1990,5,"N02",43.64,1.87,5.2,3.49,67.14,3.04,28.82,13.6,6
