SurveyRegion	Year	DateTime	Latitude	Longitude	DATE	DATEnum	SITE	substrate	TIME	Number	OBS	WIND	SKY	PRECIP	TEMP	AIRCRAFT	ALT	TideStation	TideHtMeters	TideRelToLow	MinutesToLow	NearestLowMeters	MinutesToHigh	NearestHighMeters	StationLat	StationLon	StationDist
SSEAK	1998	8/23/1998 8:31	55.5627	-133.1876	8/23/1998	36030	Abbess I.	rock	8:31	250	Brix	calm (<5 kts)	high overcast	none	51-60 F	Cessna 185	700	"Cruz Pass, San Fernando Island, Alaska"	-0.31	0.01	-17	-0.32	359	2.9	55.5333	-133.3166	8745
SSEAK	1998	8/25/1998 7:33	55.5627	-133.1876	8/25/1998	36032	Abbess I.	rock	7:33	144	Brix	calm (<5 kts)	low overcast	none	51-60 F	Cessna 185	700	"Cruz Pass, San Fernando Island, Alaska"	0.5	0.5	103	0	-274	2.84	55.5333	-133.3166	8745
SSEAK	1998	8/19/1998 16:44	55.2228	-131.1422	8/19/1998	36026	Alava Bay	rock	16:44	0	Swain	calm (<5 kts)	clear	none	61-70 F	Cessna 185	700	"Alava Bay, Alaska"	1.09	0.23	59	0.86	-285	4.11	55.2333	-131.1333	1298
SSEAK	1998	8/20/1998 5:56	55.2228	-131.1422	8/20/1998	36027	Alava Bay	rock	5:56	42	Swain	calm (<5 kts)	partly cloudy	none	51-60 F	Cessna 185	700	"Alava Bay, Alaska"	-0.43	0.05	24	-0.48	-365	4.81	55.2333	-131.1333	1298
SSEAK	1998	8/21/1998 8:58	55.2228	-131.1422	8/21/1998	36028	Alava Bay	rock	8:58	10	Swain	calm (<5 kts)	partly cloudy	none	41-50 F	Cessna 185	600	"Alava Bay, Alaska"	0.56	1.14	-118	-0.58	262	4.54	55.2333	-131.1333	1298
SSEAK	1998	8/26/1998 12:05	55.2228	-131.1422	8/26/1998	36033	Alava Bay	rock	12:05	0	Swain	lt. breeze (6-15 kts)	fog	rain	51-60 F	Cessna 185	600	"Alava Bay, Alaska"	1.51	1.26	-138	0.25	237	4.39	55.2333	-131.1333	1298
SSEAK	1998	8/18/1998 17:23	56.1783	-133.869	8/18/1998	36025	Amelius group	rock	17:23	127	Seagars					Cessna 185	625	"Point St. Albans, Alaska"	0.98	0.07	-39	0.91	319	3.38	56.0833	-133.9666	12167
SSEAK	1998	8/19/1998 7:31	56.1783	-133.869	8/19/1998	36026	Amelius group	rock	7:31	20	Seagars		high overcast	none	51-60 F	Cessna 185	600	"Point St. Albans, Alaska"	0.33	0.63	-113	-0.3	275	2.95	56.0833	-133.9666	12167
SSEAK	1998	8/21/1998 7:17	56.1783	-133.869	8/21/1998	36028	Amelius group	rock	7:17	56	Seagars		clear	none	41-50 F	Cessna 185	625	"Point St. Albans, Alaska"	-0.4	0.01	-14	-0.41	367	3.2	56.0833	-133.9666	12167
SSEAK	1998	8/24/1998 8:24	56.1783	-133.869	8/24/1998	36031	Amelius group	rock	8:24	71	Seagars	lt. winds (16-25 kts)	fog	drizzle	51-60 F	Cessna 185	625	"Point St. Albans, Alaska"	-0.13	0.02	20	-0.15	-364	3.38	56.0833	-133.9666	12167
SSEAK	1998	8/26/1998 11:41	56.1783	-133.869	8/26/1998	36033	Amelius group	rock	11:41	38	Seagars	lt. winds (16-25 kts)	fog	rain	51-60 F	Cessna 185	600	"Point St. Albans, Alaska"	0.88	0.64	-115	0.24	258	3.19	56.0833	-133.9666	12167
SSEAK	1998	8/20/1998 6:45	56.196	-131.9318	8/20/1998	36027	Anan	rock	6:45	46	Bengtson	lt. breeze (6-15 kts)	clear	none	41-50 F	Cessna 206	650	"Blake Island, Bradfield Canal, Alaska"	-0.49	0.02	-15	-0.51	373	4.75	56.2167	-131.9166	2480
SSEAK	1998	8/22/1998 6:39	56.196	-131.9318	8/22/1998	36029	Anan	rock	6:39	20	Bengtson	calm (<5 kts)	fog	drizzle	41-50 F	Cessna 206	650	"Blake Island, Bradfield Canal, Alaska"	-0.15	0.46	67	-0.61	-306	5.37	56.2167	-131.9166	2480
SSEAK	1998	8/24/1998 8:08	56.196	-131.9318	8/24/1998	36031	Anan	rock	8:08	15	Bengtson	lt. breeze (6-15 kts)	low overcast	drizzle	51-60 F	Cessna 206		"Blake Island, Bradfield Canal, Alaska"	-0.14	0.2	45	-0.34	-322	5.18	56.2167	-131.9166	2480
SSEAK	1998	8/25/1998 9:50	56.196	-131.9318	8/25/1998	36032	Anan	rock	9:50	27	Bengtson	lt. breeze (6-15 kts)	partly cloudy	none	41-50 F	Cessna 206	500	"Blake Island, Bradfield Canal, Alaska"	-0.04	0.05	-25	-0.09	356	4.93	56.2167	-131.9166	2480
SSEAK	1998	8/24/1998 8:24	55.6826	-133.6164	8/24/1998	36031	Anguilla I.	rock	8:24	45	Brix	lt. breeze (6-15 kts)	fog	none	51-60 F	Cessna 185	650	"Anguilla Island, Gulf of Esquibel, Alaska"	-0.16	0.02	19	-0.18	-365	3.07	55.6833	-133.5833	2074
SSEAK	1998	8/25/1998 11:14	55.6826	-133.6164	8/25/1998	36032	Anguilla I.	rock	11:14	6	Brix	calm (<5 kts)	low overcast	none	51-60 F	Cessna 185	700	"Anguilla Island, Gulf of Esquibel, Alaska"	0.68	0.68	-120	0	253	2.95	55.6833	-133.5833	2074
SSEAK	1998	8/26/1998 11:43	55.6826	-133.6164	8/26/1998	36033	Anguilla I.	rock	11:43	64	Brix	lt. breeze (6-15 kts)	high overcast	none	51-60 F	Cessna 185	700	"Anguilla Island, Gulf of Esquibel, Alaska"	0.81	0.6	-118	0.21	255	2.89	55.6833	-133.5833	2074
SSEAK	1998	8/19/1998 5:46	55.5375	-131.7708	8/19/1998	36026	Back I.	rock	5:46	3	Olesiuk	lt. breeze (6-15 kts)	fog	none	51-60 F	Cessna 185	600	"Loring, Naha Bay, Alaska"	-0.29	0.01	-7	-0.3	378	4.29	55.6	-131.6333	11090
SSEAK	1998	8/24/1998 7:04	55.5375	-131.7708	8/24/1998	36031	Back I.	rock	7:04	0	Olesiuk	lt. breeze (6-15 kts)	partly cloudy	none	61-70 F	Cessna 185	600	"Loring, Naha Bay, Alaska"	0.64	0.95	103	-0.31	-269	4.96	55.6	-131.6333	11090
SSEAK	1998	8/26/1998 8:05	55.5375	-131.7708	8/26/1998	36033	Back I.	rock	8:05	10	Olesiuk	lt. winds (16-25 kts)	high overcast	none	61-70 F	Cessna 185	600	"Loring, Naha Bay, Alaska"	1.09	0.84	106	0.25	-259	4.46	55.6	-131.6333	11090
SSEAK	1998	8/18/1998 17:16	57.0839	-132.8203	8/18/1998	36025	Baird Glacier	sand	17:16	10	Jansen	calm (<5 kts)	high overcast	none	51-60 F	Cessna 180	350	"Thomas Bay, Alaska"	1.09	0.01	12	1.08	-326	3.97	57	-132.7833	9592
SSEAK	1998	8/19/1998 9:07	57.0839	-132.8203	8/19/1998	36026	Baird Glacier	sand	9:07	0	Jansen					Cessna 180	400	"Thomas Bay, Alaska"	1.7	2.08	-177	-0.38	215	4.29	57	-132.7833	9592
SSEAK	1998	8/20/1998 9:15	57.0839	-132.8203	8/20/1998	36027	Baird Glacier	sand	9:15	0	Jansen	calm (<5 kts)	partly cloudy	none	51-60 F	Cessna 180	400	"Thomas Bay, Alaska"	0.97	1.56	-139	-0.59	250	4.56	57	-132.7833	9592
SSEAK	1998	8/21/1998 7:18	57.0839	-132.8203	8/21/1998	36028	Baird Glacier	sand	7:18	131	Jansen	calm (<5 kts)	partly cloudy	none	51-60 F	Cessna 180	400	"Thomas Bay, Alaska"	-0.67	0.03	17	-0.7	-360	5.07	57	-132.7833	9592
SSEAK	1998	8/23/1998 8:42	57.0839	-132.8203	8/23/1998	36030	Baird Glacier	sand	8:42	64	Jansen	calm (<5 kts)	low overcast	none	51-60 F	Cessna 180	350	"Thomas Bay, Alaska"	-0.62	0	4	-0.62	-367	5.07	57	-132.7833	9592
SSEAK	1998	8/24/1998 11:15	57.0839	-132.8203	8/24/1998	36031	Baird Glacier	sand	11:15	0	Jansen	windy (>25 kts)	low overcast	none	41-50 F	Cessna 180	400	"Thomas Bay, Alaska"	0.78	1.21	-116	-0.43	264	4.83	57	-132.7833	9592
SSEAK	1998	8/26/1998 8:42	57.0839	-132.8203	8/26/1998	36033	Baird Glacier	sand	8:42	0	Jansen	calm (<5 kts)	fog	none	51-60 F	Cessna 180	400	"Thomas Bay, Alaska"	0.99	0.81	101	0.18	-263	4.43	57	-132.7833	9592
SSEAK	1998	8/19/1998 16:58	55.32	-130.6909	8/19/1998	36026	Bakewell Arm	rock	16:58	116	Swain	calm (<5 kts)	clear	none	61-70 F	Cessna 185	700	"Smeaton Bay (Wilson Arm), Alaska"	1.08	0.22	57	0.86	-288	4.23	55.3667	-130.6333	6337
SSEAK	1998	8/21/1998 18:12	55.32	-130.6909	8/21/1998	36028	Bakewell Arm	rock	18:12	98	Swain	lt. breeze (6-15 kts)	high overcast	none	61-70 F	Cessna 185	600	"Smeaton Bay (Wilson Arm), Alaska"	0.84	0.39	69	0.45	-281	4.66	55.3667	-130.6333	6337
SSEAK	1998	8/26/1998 11:50	55.32	-130.6909	8/26/1998	36033	Bakewell Arm	rock	11:50	50	Swain	lt. breeze (6-15 kts)	fog	rain	51-60 F	Cessna 185	700	"Smeaton Bay (Wilson Arm), Alaska"	1.13	0.88	-111	0.25	263	4.51	55.3667	-130.6333	6337
SSEAK	1998	8/21/1998 8:51	55.0381	-132.9849	8/21/1998	36028	Baldy Bay Reef	rock	8:51	85	Westlake	calm (<5 kts)	partly cloudy	none	51-60 F	Cessna 185	500	"McFarland Islands, Tlevak Strait, Alaska"	0.22	0.6	-97	-0.38	282	3.6	55.0667	-132.9333	4568
SSEAK	1998	8/22/1998 8:14	55.0381	-132.9849	8/22/1998	36029	Baldy Bay Reef	rock	8:14	94	Westlake	calm (<5 kts)	high overcast	none	51-60 F	Cessna 185	500	"McFarland Islands, Tlevak Strait, Alaska"	-0.31	0.04	-24	-0.35	352	3.66	55.0667	-132.9333	4568
SSEAK	1998	8/23/1998 9:21	55.0381	-132.9849	8/23/1998	36030	Baldy Bay Reef	rock	9:21	78	Westlake	calm (<5 kts)	low overcast	none	51-60 F	Cessna 185	500	"McFarland Islands, Tlevak Strait, Alaska"	-0.04	0.22	-57	-0.26	316	3.69	55.0667	-132.9333	4568
SSEAK	1998	8/25/1998 10:53	55.0381	-132.9849	8/25/1998	36032	Baldy Bay Reef	rock	10:53	102	Westlake	lt. breeze (6-15 kts)	partly cloudy	none	51-60 F	Cessna 185	500	"McFarland Islands, Tlevak Strait, Alaska"	0.52	0.46	-87	0.06	284	3.65	55.0667	-132.9333	4568
SSEAK	1998	8/26/1998 11:08	55.0381	-132.9849	8/26/1998	36033	Baldy Bay Reef	rock	11:08	56	Westlake	calm (<5 kts)	low overcast	drizzle	51-60 F	Cessna 185	500	"McFarland Islands, Tlevak Strait, Alaska"	0.56	0.29	-71	0.27	300	3.59	55.0667	-132.9333	4568
SSEAK	1998	8/22/1998 6:42	54.7438	-131.355	8/22/1998	36029	Barren I.	rock	6:42	10	Olesiuk	lt. winds (16-25 kts)	high overcast	none	51-60 F	Cessna 185	600	"Barren Island, Alaska"	-0.38	0.2	47	-0.58	-335	4.61	54.75	-131.35	758
SSEAK	1998	8/25/1998 8:39	54.7438	-131.355	8/25/1998	36032	Barren I.	rock	8:39	1	Withrow	lt. breeze (6-15 kts)	partly cloudy	none	51-60 F	Cessna 185	600	"Barren Island, Alaska"	0.01	0.07	29	-0.06	-343	4.2	54.75	-131.35	758
SSEAK	1998	8/20/1998 6:54	54.7785	-132.4416	8/20/1998	36027	Barrier I.	rock	6:54	36	Westlake	calm (<5 kts)	partly cloudy	none	51-60 F	Cessna 185	500	"Tah Bay, Alaska"	-0.34	0.01	-15	-0.35	366	3.46	54.8333	-132.3333	9236
SSEAK	1998	8/22/1998 7:28	54.7785	-132.4416	8/22/1998	36029	Barrier I.	rock	7:28	162	Westlake	calm (<5 kts)	high overcast	none	51-60 F	Cessna 185	500	"Tah Bay, Alaska"	-0.3	0.05	27	-0.35	-371	3.88	54.8333	-132.3333	9236
SSEAK	1998	8/24/1998 8:18	54.7785	-132.4416	8/24/1998	36031	Barrier I.	rock	8:18	205	Westlake	lt. breeze (6-15 kts)	fog	none	51-60 F	Cessna 185	500	"Tah Bay, Alaska"	-0.01	0.11	42	-0.12	-345	3.74	54.8333	-132.3333	9236
SSEAK	1998	8/26/1998 8:59	54.7785	-132.4416	8/26/1998	36033	Barrier I.	rock	8:59	8	Westlake	calm (<5 kts)	low overcast	drizzle	51-60 F	Cessna 185	500	"Tah Bay, Alaska"	0.49	0.22	63	0.27	-312	3.43	54.8333	-132.3333	9236
