YEAR,MONTH,DATE,SITE,TRANSECT,QUAD,SIDE,FRONDS,HLD_DIAM,OBS_CODE
2009,7,7/22/05,MOHK,1,20,I,38,56,68
2009,7,7/22/05,MOHK,1,20,I,56,70,68
2009,7,7/22/05,MOHK,1,20,O,44,55,68
2009,7,7/22/05,MOHK,1,20,O,7,32,68
2009,7,7/22/05,MOHK,1,20,O,20,49,68
2009,7,7/22/05,MOHK,1,20,O,50,51,68
2009,7,7/22/05,MOHK,1,20,O,36,40,68
2009,7,7/22/05,MOHK,1,40,I,36,55,68
2009,7,7/22/05,MOHK,1,40,I,20,53,68
2009,7,7/22/05,MOHK,1,40,I,26,48,68
2009,7,7/22/05,MOHK,1,40,I,24,57,68
2009,7,7/22/05,MOHK,1,40,I,74,88,68
2009,7,7/22/05,MOHK,1,40,I,9,35,68
2009,7,7/22/05,MOHK,1,40,I,27,42,68
2009,7,7/22/05,MOHK,1,40,O,0,,68
2009,7,7/22/05,MOHK,2,20,I,47,40,68
2009,7,7/22/05,MOHK,2,20,I,29,45,68
2009,7,7/22/05,MOHK,2,20,I,9,25,68
2009,7,7/22/05,MOHK,2,20,I,42,35,68
2009,7,7/22/05,MOHK,2,20,I,47,60,68
2009,7,7/22/05,MOHK,2,20,I,24,35,68
2009,7,7/22/05,MOHK,2,20,I,25,35,68
2009,7,7/22/05,MOHK,2,20,I,21,30,68
2009,7,7/22/05,MOHK,2,20,I,21,25,68
2009,7,7/22/05,MOHK,2,20,I,64,70,68
2009,7,7/22/05,MOHK,2,20,I,22,40,68
2009,7,7/22/05,MOHK,2,20,I,12,22,68
2009,7,7/22/05,MOHK,2,20,I,25,25,68
2009,7,7/22/05,MOHK,2,20,I,14,24,68
2009,7,7/22/05,MOHK,2,20,I,12,23,68
2009,7,7/22/05,MOHK,2,20,I,24,30,68
2009,7,7/22/05,MOHK,2,20,I,16,30,68
2009,7,7/22/05,MOHK,2,20,I,30,25,68
2009,7,7/22/05,MOHK,2,20,I,17,27,68
2009,7,7/22/05,MOHK,2,20,I,8,,68
2009,7,7/22/05,MOHK,2,20,I,16,28,68
2009,7,7/22/05,MOHK,2,20,O,5,30,68
2009,7,7/22/05,MOHK,2,20,O,5,30,68
2009,7,7/22/05,MOHK,2,20,O,7,26,68
2009,7,7/22/05,MOHK,2,20,O,24,55,68
2009,7,7/22/05,MOHK,2,20,O,8,26,68
2009,7,7/22/05,MOHK,2,20,O,16,30,68
2009,7,7/22/05,MOHK,2,20,O,6,23,68
2009,7,7/22/05,MOHK,2,20,O,15,40,68
2009,7,7/22/05,MOHK,2,20,O,11,43,68
2009,7,7/22/05,MOHK,2,20,O,32,50,68
2009,7,7/22/05,MOHK,2,20,O,3,40,68
2009,7,7/22/05,MOHK,2,20,O,16,55,68
2009,7,7/22/05,MOHK,2,20,O,42,86,68
2009,7,7/22/05,MOHK,2,40,I,3,30,68
2009,7,7/22/05,MOHK,2,40,I,20,45,68
2009,7,7/22/05,MOHK,2,40,I,12,20,68
2009,7,7/22/05,MOHK,2,40,I,16,35,68
2009,7,7/22/05,MOHK,2,40,I,7,37,68
2009,7,7/22/05,MOHK,2,40,I,6,24,68
2009,7,7/22/05,MOHK,2,40,I,22,30,68
2009,7,7/22/05,MOHK,2,40,O,13,40,68
2009,7,7/22/05,MOHK,2,40,O,60,100,68
2009,7,7/22/05,MOHK,2,40,O,37,86,68
2009,7,7/22/05,MOHK,2,40,O,17,23,68
2009,7,7/22/05,MOHK,2,40,O,9,,68
2009,7,7/22/05,MOHK,2,40,O,26,35,68
2009,7,7/22/05,MOHK,2,40,O,15,32,68
2009,7,7/22/05,MOHK,2,40,O,26,34,68
2009,7,7/22/05,MOHK,2,40,O,10,35,68
2009,7,7/20/05,NAPL,1,20,I,1,40,77
2009,7,7/20/05,NAPL,1,20,I,10,27,77
2009,7,7/20/05,NAPL,1,20,I,4,,77
2009,7,7/20/05,NAPL,1,20,I,3,38,77
2009,7,7/20/05,NAPL,1,20,I,5,40,77
2009,7,7/20/05,NAPL,1,20,O,1,,77
2009,7,7/20/05,NAPL,1,20,O,1,,77
2009,7,7/20/05,NAPL,1,20,O,7,40,77
2009,7,7/20/05,NAPL,1,20,O,9,25,77
2009,7,7/20/05,NAPL,1,20,O,10,30,77
2009,7,7/20/05,NAPL,1,20,O,18,80,77
2009,7,7/20/05,NAPL,1,20,O,8,45,77
2009,7,7/20/05,NAPL,1,20,O,4,65,77
2009,7,7/20/05,NAPL,1,40,I,1,,77
2009,7,7/20/05,NAPL,1,40,I,8,30,77
2009,7,7/20/05,NAPL,1,40,I,5,35,77
2009,7,7/20/05,NAPL,1,40,I,4,42,77
2009,7,7/20/05,NAPL,1,40,I,3,40,77
2009,7,7/20/05,NAPL,1,40,I,3,30,77
2009,7,7/20/05,NAPL,1,40,I,4,25,77
2009,7,7/20/05,NAPL,1,40,O,7,34,77
2009,7,7/20/05,NAPL,1,40,O,7,60,77
2009,7,7/20/05,NAPL,1,40,O,4,38,77
2009,7,7/20/05,NAPL,1,40,O,4,,77
2009,7,7/20/05,NAPL,1,40,O,21,50,77
2009,7,7/20/05,NAPL,1,40,O,22,60,77
2009,7,7/20/05,NAPL,1,40,O,4,50,77
2009,7,7/20/05,NAPL,1,40,O,17,83,77
2009,7,7/20/05,NAPL,1,40,O,25,70,77
2009,7,7/20/05,NAPL,2,20,I,3,40,77
2009,7,7/20/05,NAPL,2,20,I,2,60,77
2009,7,7/20/05,NAPL,2,20,O,13,60,77
2009,7,7/20/05,NAPL,2,40,I,0,,77
2009,7,7/20/05,NAPL,2,40,O,0,,77
2009,7,7/21/05,NAPL,3,20,I,1,,75
2009,7,7/21/05,NAPL,3,20,I,5,,75
2009,7,7/21/05,NAPL,3,20,I,3,,75
2009,7,7/21/05,NAPL,3,20,O,0,,75
2009,7,7/21/05,NAPL,3,40,I,0,,75
2009,7,7/21/05,NAPL,3,40,O,0,,75
2009,7,7/20/05,NAPL,4,20,I,8,20,1
2009,7,7/20/05,NAPL,4,20,I,1,15,1
2009,7,7/20/05,NAPL,4,20,I,4,30,1
2009,7,7/20/05,NAPL,4,20,I,2,15,1
2009,7,7/20/05,NAPL,4,20,O,1,20,1
2009,7,7/20/05,NAPL,4,20,O,3,10,1
2009,7,7/20/05,NAPL,4,20,O,4,12,1
2009,7,7/20/05,NAPL,4,20,O,5,8,1
2009,7,7/20/05,NAPL,4,20,O,6,20,1
2009,7,7/20/05,NAPL,4,40,I,1,8,1
2009,7,7/20/05,NAPL,4,40,I,1,10,1
2009,7,7/20/05,NAPL,4,40,O,0,,75
2009,7,7/20/05,NAPL,5,20,I,2,,75
