ID,Higher.classification,Order,Family,Common.Name,Scientific Name
240,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Sekeetamys calurus
113,Euarchontoglires,Soricomorpha,Soricidae,Shrews,Blarina brevicauda
1,Euarchontoglires,Soricomorpha,Soricidae,Shrews,Suncus etruscus
166,Euarchontoglires,Rodentia,Cricetidae,*,Akodon albiventer
193,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Tamias alpinus
272,Euarchontoglires,Rodentia,Cricetidae,*,Microtus xanthognathus
593,Euarchontoglires,Rodentia,Erethizontidae,New-world Porcupines,Erethizon dorsata
360,Euarchontoglires,Rodentia,Dipodidae,Gerboas & Jumping Mice (includes Zapodidae),Dipus sagitta
4,Euarchontoglires,Soricomorpha,Soricidae,Shrews,Notiosorex crawfordi
309,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Ammospermophilus leucurus
573,Euarchontoglires,Rodentia,Chinchillidae,Viscachas & Chinchillas,Lagostomus maximus
162,Euarchontoglires,Rodentia,Cricetidae,*,Lemmiscus curtatus
576,Laurasiatheria,Carnivora,Hyaenidae,Hyenas,Proteles cristata
23,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Mus minutoides
441,Afrotheria,Afrosoricida,Tenrecidae,Tenrecs,Setifer setosus
289,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Rattus fuscipes
502,Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Dasyurus geoffroii
70,Marsupialia,Diprontodontia,Acrobatidae,Feathertail Glider & Feather-tail Possum,Acrobates pygmaeus
616,Laurasiatheria,Carnivora,Phocidae,Earless Seals,Histriophoca fasciata
38,Euarchontoglires,Soricomorpha,Soricidae,Shrews,Sorex ornatus
101,Laurasiatheria,Chiroptera,Mormoopidae,Leaf-chinned Bats,Pteronotus parnellii
451,Euarchontoglires,Rodentia,Bathyergidae,African Mole-rats,Bathyergus suillus
253,Euarchontoglires,Rodentia,Nesomyidae,*,Saccostomus campestris
343,Euarchontoglires,Rodentia,Cricetidae,*,Sigmodon leucotis
454,Euarchontoglires,Rodentia,Caviidae,Cavies & Guinea-pigs,Cavia porcellus
484,Euarchontoglires,Primates,Lorisidae,*,Perodicticus potto
507,Euarchontoglires,Lagomorpha,Leporidae,Rabbits & Hares,Lepus americanus
527,Euarchontoglires,Lagomorpha,Leporidae,Rabbits & Hares,Lepus townsendii
442,Laurasiatheria,Carnivora,Herpestidae,Mongooses,Galerella sanguinea
461,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Spermophilus undulatus
599,Laurasiatheria,Carnivora,Mustelidae,"Otters, Weasels & Badgers",Enhydra lutris
468,Euarchontoglires,Rodentia,Capromyidae,Hutias,Geocapromys ingrahami
434,Euarchontoglires,Erinaceomorpha,Erinaceidae,Hedgehogs & Moonrats,Paraechinus aethiopicus
144,Euarchontoglires,Rodentia,Cricetidae,*,Myodes rufocanus
483,Euarchontoglires,Primates,Galagidae,*,Otolemur crassicaudatus
583,Laurasiatheria,Carnivora,Felidae,Cats,Lynx rufus
130,Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Paranyctimene raptor
413,Euarchontoglires,Rodentia,Ctenomyidae,*,Ctenomys fulvus
207,Afrotheria,Afrosoricida,Chrysochloridae,Golden Moles,Chrysochloris asiatica
32,Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Planigale gilesi
299,Euarchontoglires,Rodentia,Geomyidae ,Pocket-gophers,Thomomys umbrinus
128,Euarchontoglires,Rodentia,Cricetidae,*,Peromyscus boylii
508,Euarchontoglires,Rodentia,Caviidae,Cavies & Guinea-pigs,Dolichotis salinicola
182,Euarchontoglires,Rodentia,Heteromyidae,*,Dipodomys merriami
90,Euarchontoglires,Rodentia,Cricetidae,*,Calomys musculinus
425,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Paraxerus palliatus
476,Euarchontoglires,Primates,Cebidae,*,Saimiri sciureus
378,Euarchontoglires,Rodentia,Octodontidae,Degus & Tuco-tucos,Octodon degus
141,Euarchontoglires,Rodentia,Cricetidae,*,Myopus schisticolor
62,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Gerbillus pusillus
349,Euarchontoglires,Rodentia,Cricetidae,*,Sigmodon fulviventer
567,Marsupialia,Diprontodontia,Phascolarctidae,Koala,Phascolarctos cinereus
155,Euarchontoglires,Rodentia,Cricetidae,*,Microtus longicaudis
158,Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Desmodus rotundus
29,Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Vampyressa pusilla
422,Euarchontoglires,Rodentia,Spalacidae,*,Cannomys badius
319,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Gerbillus pyramidum
543,Laurasiatheria,Carnivora,Viverridae,Genets & Civets,Paradoxurus hermaphroditus
