height,herbivores,sqrtarea
low,minus,9.405572816
low,minus,34.46773564
low,minus,46.67348498
low,minus,16.64213929
low,minus,24.37749782
low,minus,38.35060365
low,minus,33.77722309
low,minus,61.0959966
low,minus,35.45617013
low,minus,46.17440417
low,minus,35.41183983
low,minus,25.0449436
low,minus,0.707106781
low,minus,41.09878344
low,minus,36.15806411
low,minus,41.79047978
low,plus,11.97676083
low,plus,14.47122662
low,plus,0.707106781
low,plus,8.007334138
low,plus,0.707106781
low,plus,0.707106781
low,plus,27.63890012
low,plus,42.98558828
low,plus,3.150365058
low,plus,8.343572376
low,plus,0.707106781
low,plus,4.12230518
low,plus,0.707106781
low,plus,35.97295929
low,plus,3.504425773
low,plus,2.751108867
mid,minus,0.707106781
mid,minus,24.95068737
mid,minus,46.56397749
mid,minus,0.707106781
mid,minus,5.139863811
mid,minus,6.180550137
mid,minus,46.95031842
mid,minus,22.89894757
mid,minus,19.42915335
mid,minus,37.13323309
mid,minus,14.19726734
mid,minus,3.150365058
mid,minus,21.61082136
mid,minus,16.64213929
mid,minus,45.54070707
mid,minus,47.93532101
mid,plus,0.707106781
mid,plus,32.20602428
mid,plus,35.07757688
mid,plus,17.53828384
mid,plus,6.24376489
mid,plus,13.04401779
mid,plus,25.63385262
mid,plus,36.50395047
mid,plus,37.52248393
mid,plus,45.78151592
mid,plus,20.02633266
mid,plus,9.972983505
mid,plus,2.751108867
mid,plus,40.13190751
mid,plus,40.81112593
mid,plus,44.86306722
