Dose,N,Y,Source
18,9,0,Finch
25,10,2,Finch
25,6,0,Finch
40,6,1,Finch
40,5,2,Finch
43,5,1,Finch
50,8,0,Finch
50,6,1,Finch
53,4,1,Finch
55,5,2,Finch
55,4,2,Finch
64,4,1,Finch
73,7,5,Finch
75,8,5,Finch
75,5,4,Finch
81,8,6,Finch
81,4,4,Finch
85,5,5,Finch
88,8,8,Finch
100,8,1,Finch
100,8,2,Finch
100,8,1,Finch
110,4,4,Finch
110,5,5,Finch
120,5,5,Finch
130,4,4,Finch
130,7,7,Finch
150,8,3,Finch
150,9,1,Finch
150,6,1,Finch
160,9,6,Finch
180,6,4,Finch
200,6,6,Finch
200,7,4,Finch
200,10,5,Finch
200,7,7,Finch
220,8,8,Finch
250,6,6,Finch
300,8,8,Finch
310,9,6,Finch
330,5,5,Finch
400,5,5,Finch
400,6,6,Finch
286.7,25,20,UA
298.4,23,22,UA
291.7,18,17,UA
316.7,20,19,UA
309.5,14,14,UA
222.2,23,15,UA
220,21,20,UA
233.3,21,20,UA
238.9,34,28,UA
214.3,32,29,UA
160.5,23,16,UA
172.2,23,16,UA
144.4,13,6,UA
148.1,31,19,UA
136.7,27,18,UA
81.9,22,8,UA
85.2,22,13,UA
85.2,22,10,UA
67.8,34,6,UA
81.1,32,19,UA
31.5,17,2,UA
27.8,21,4,UA
24.1,24,11,UA
26.7,26,0,UA
33.3,25,10,UA
